Model,Batch,Alpha,Eval,Lang,SingleMulti,Average,Std
multiflair,16,0.2,Accuracy,Finnisch,Single,0.9727,0.0006000000000000449
bert,16,0.2,Accuracy,Finnisch,Multi,0.9601,0.0006
bert,16,0.2,Accuracy,Finnisch,Single,0.96465,0.0008500000000000174
roberta,16,0.15,Accuracy,Finnisch,Multi,0.9698,0.0004
roberta,16,0.15,Accuracy,Finnisch,Single,0.9662999999999999,0.00020000000000003348
multiflair,16,0.2,F1-Werte (micro),Französisch,Multi,0.8254,0.0015
multiflair,16,0.2,F1-Werte (micro),Französisch,Single,0.8228500000000001,0.0015499999999999958
bert,16,0.2,F1-Werte (micro),Französisch,Multi,0.837,0.0066
bert,16,0.2,F1-Werte (micro),Französisch,Single,0.8973,0.0028000000000000247
roberta,16,0.15,F1-Werte (micro),Französisch,Multi,0.8519,0.0002
roberta,16,0.15,F1-Werte (micro),Französisch,Single,0.89255,0.0047499999999999765
multiflair,16,0.2,Precision,Französisch,Multi,0.848,0.0022
multiflair,16,0.2,Precision,Französisch,Single,0.8674,0.0023000000000000242
bert,16,0.2,Precision,Französisch,Multi,0.8585,0.006
bert,16,0.2,Precision,Französisch,Single,0.9075,0.006500000000000006
roberta,16,0.15,Precision,Französisch,Multi,0.8591,0.0013
roberta,16,0.15,Precision,Französisch,Single,0.9197500000000001,0.0021500000000000408
multiflair,16,0.2,Recall,Französisch,Multi,0.8039,0.0008
multiflair,16,0.2,Recall,Französisch,Single,0.7827,0.004699999999999982
bert,16,0.2,Recall,Französisch,Multi,0.8165,0.0071
bert,16,0.2,Recall,Französisch,Single,0.8874,0.0007999999999999674
roberta,16,0.15,Recall,Französisch,Multi,0.8449,0.0008
roberta,16,0.15,Recall,Französisch,Single,0.8669,0.007099999999999995
multiflair,16,0.2,Accuracy,Französisch,Multi,0.9776,0.0001
multiflair,16,0.2,Accuracy,Französisch,Single,0.9772000000000001,0.00020000000000003348
bert,16,0.2,Accuracy,Französisch,Multi,0.9798,0.0006
bert,16,0.2,Accuracy,Französisch,Single,0.9863999999999999,0.00040000000000001146
roberta,16,0.15,Accuracy,Französisch,Multi,0.9813,0.0003
roberta,16,0.15,Accuracy,Französisch,Single,0.9855,0.0005999999999999894
multiflair,16,0.2,F1-Werte (micro),Italienisch,Multi,0.7163,0.0039
multiflair,16,0.2,F1-Werte (micro),Italienisch,Single,0.8069,0.0015000000000000013
bert,16,0.2,F1-Werte (micro),Italienisch,Multi,0.7815,0.0024
bert,16,0.2,F1-Werte (micro),Italienisch,Single,0.8099000000000001,0.003200000000000036
roberta,16,0.15,F1-Werte (micro),Italienisch,Multi,0.7878,0.0028
roberta,16,0.15,F1-Werte (micro),Italienisch,Single,0.79155,0.00764999999999999
multiflair,16,0.2,Precision,Italienisch,Multi,0.7531,0.0055
multiflair,16,0.2,Precision,Italienisch,Single,0.82195,0.00045000000000000595
bert,16,0.2,Precision,Italienisch,Multi,0.81,0.0012
bert,16,0.2,Precision,Italienisch,Single,0.8298000000000001,0.003500000000000003
roberta,16,0.15,Precision,Italienisch,Multi,0.8128,0.0049
roberta,16,0.15,Precision,Italienisch,Single,0.82775,0.006149999999999989
multiflair,16,0.2,Recall,Italienisch,Multi,0.6829,0.0025
multiflair,16,0.2,Recall,Italienisch,Single,0.7924,0.0025000000000000022
bert,16,0.2,Recall,Italienisch,Multi,0.755,0.0035
bert,16,0.2,Recall,Italienisch,Single,0.79095,0.002950000000000008
roberta,16,0.15,Recall,Italienisch,Multi,0.7643,0.001
roberta,16,0.15,Recall,Italienisch,Single,0.7584,0.008899999999999963
multiflair,16,0.2,Accuracy,Italienisch,Multi,0.9702,0.0002
multiflair,16,0.2,Accuracy,Italienisch,Single,0.98005,0.00024999999999997247
bert,16,0.2,Accuracy,Italienisch,Multi,0.9762,0.0003
bert,16,0.2,Accuracy,Italienisch,Single,0.97995,4.999999999999449e-05
roberta,16,0.15,Accuracy,Italienisch,Multi,0.9774,0.0003
roberta,16,0.15,Accuracy,Italienisch,Single,0.97785,0.0008500000000000174
multiflair,16,0.2,F1-Werte (micro),Spanisch,Multi,0.7336,0.0026
multiflair,16,0.2,F1-Werte (micro),Spanisch,Single,0.77415,0.0016500000000000403
bert,16,0.2,F1-Werte (micro),Spanisch,Multi,0.756,0.007
bert,16,0.2,F1-Werte (micro),Spanisch,Single,0.79555,0.005149999999999988
roberta,16,0.15,F1-Werte (micro),Spanisch,Multi,0.7846,0.0
roberta,16,0.15,F1-Werte (micro),Spanisch,Single,0.8007,0.004400000000000015
